auditplus,tally
Sales,Sales AP
Credit Note,Credit Note AP
Purchase,Purchase AP
Debit Note,Debit Note AP
Payment,Payment AP
Receipt,Receipt AP
Journal,Journal AP
Contra,Contra AP
